SubNo,BlkNo,Trty,Resp,Cor,RT,PFresp,PFno,Congru,Effector,BadSub,Practice,RTinBounds
2,9,2,Z,1,324.028,476.837,0.908,2,1,0,0,1
2,9,3,/,1,334.242,678.74,-0.077,1,2,0,0,1
2,9,2,Z,1,401.654,430.719,1.943,2,1,0,0,1
2,9,4,/,1,379.802,451.87,1.49,2,2,0,0,1
2,9,4,/,1,308.252,425.651,1.451,2,2,0,0,1
2,9,3,/,1,294.706,402.937,2.671,1,2,0,0,1
2,9,3,/,1,343.074,472.405,2.574,1,2,0,0,1
2,9,1,Z,1,323.508,361.145,0.054,1,1,0,0,1
2,9,3,/,1,297.701,426.94,2.574,1,2,0,0,1
2,9,3,/,1,313.866,444.662,0.503,1,2,0,0,1
2,9,4,/,1,386.938,458.897,0.852,2,2,0,0,1
2,9,1,Z,1,336.311,489.088,0.999,1,1,0,0,1
2,9,1,Z,1,338.091,444.44,1.144,1,1,0,0,1
2,9,1,Z,1,321.931,422.649,-2.506,1,1,0,0,1
2,9,4,/,1,342.195,576.226,1.703,2,2,0,0,1
2,9,2,Z,1,344.055,629.609,-12.728,2,1,0,0,1
2,9,4,/,1,418.283,502.691,1.277,2,2,0,0,1
2,9,2,Z,1,342.985,367.299,1.561,2,1,0,0,1
2,9,2,Z,1,332.993,513.356,2.233,2,1,0,0,1
2,9,1,Z,1,279.827,506.679,0.708,1,1,0,0,1
2,9,3,/,1,447.901,532.995,1.393,1,2,0,0,1
2,9,3,/,1,324.571,467.358,1.587,1,2,0,0,1
2,9,1,Z,1,365.295,477.263,0.926,1,1,0,0,1
2,9,1,Z,1,311.903,548.675,1.108,1,1,0,0,1
2,9,1,Z,1,427.546,442.757,0.145,1,1,0,0,1
2,9,2,Z,1,390.023,545.463,0.418,2,1,0,0,1
2,9,3,/,1,307.961,510.408,1.897,1,2,0,0,1
2,9,4,/,1,369.637,483.572,0.774,2,2,0,0,1
2,9,3,/,1,307.743,530.852,2.438,1,2,0,0,1
2,10,4,/,1,344.65,453.05,2.013,2,2,0,0,1
2,10,3,/,1,258.195,445.333,0.194,1,2,0,0,1
2,10,1,Z,1,469.944,642.789,15.96,1,1,0,0,1
2,10,2,Z,1,319.322,635.86,-3.995,2,1,0,0,1
2,10,3,/,1,313.959,503.98,1.645,1,2,0,0,1
2,10,2,Z,1,341.942,518.891,1.979,2,1,0,0,1
2,10,1,Z,1,332.65,603.657,1.434,1,1,0,0,1
2,10,3,/,1,261.632,460.821,2.477,1,2,0,0,1
2,10,4,/,1,384.734,391.408,2.187,2,2,0,0,1
2,10,1,Z,1,300.39,404.457,-0.654,1,1,0,0,1
2,10,2,Z,1,292.546,366.758,-0.381,2,1,0,0,1
2,10,3,/,1,306.113,596.199,1.51,1,2,0,0,1
2,10,3,/,1,265.222,573.884,1.374,1,2,0,0,1
2,10,4,/,1,364.052,403.464,1.471,2,2,0,0,1
2,10,1,Z,1,282.157,587.555,4.576,1,1,0,0,1
2,10,2,Z,1,315.039,498.28,-0.054,2,1,0,0,1
2,10,2,Z,1,318.429,615.985,-2.923,2,1,0,0,1
2,10,4,/,1,317.207,504.525,1.606,2,2,0,0,1
2,10,4,/,1,305.305,578.296,2.284,2,2,0,0,1
2,10,1,Z,1,344.231,517.769,3.831,1,1,0,0,1
2,10,3,/,1,296.467,551.315,2.148,1,2,0,0,1
2,10,4,/,1,320.524,497.807,3.445,2,2,0,0,1
2,10,3,/,1,300.373,605.786,1.626,1,2,0,0,1
2,10,2,Z,1,357.944,327.819,-0.291,2,1,0,0,1
2,10,1,Z,1,313.593,674.102,0.091,1,1,0,0,1
2,10,4,/,1,306.116,468.338,-0.077,2,2,0,0,1
2,10,3,/,1,267.132,507.43,0.484,1,2,0,0,1
2,10,1,Z,1,482.176,554.694,-0.799,1,1,0,0,1
2,10,4,/,1,324.137,448.402,1.722,2,2,0,0,1
2,10,4,/,1,321.254,508.864,3.484,2,2,0,0,1
