SubNo,BlkNo,Trty,Resp,Cor,RT,Congru
3,10,1,Z,1,413.71,1
3,10,4,/,1,460.182,2
3,10,3,/,1,331.035,1
3,10,4,/,1,387.65,2
3,10,4,/,1,363.23,2
3,10,4,/,1,308.034,2
3,10,2,Z,1,323.12,2
3,10,2,Z,1,442.154,2
3,10,2,Z,1,651.233,2
3,10,2,Z,1,387.085,2
3,10,3,/,1,373.857,1
3,10,4,/,1,429.854,2
3,10,4,/,1,363.889,2
3,10,2,Z,1,457.907,2
3,10,2,Z,1,394.653,2
3,10,1,Z,1,566.487,1
3,11,2,Z,1,378.59,2
3,11,2,Z,1,432.46,2
3,11,1,Z,1,537.434,1
3,11,2,Z,1,403.171,2
3,11,4,/,1,335.162,2
3,11,4,/,1,295.31,2
3,11,1,Z,1,512.315,1
3,11,1,Z,1,429.117,1
3,11,3,/,1,367.708,1
3,11,4,/,1,377.718,2
3,11,3,/,1,326.331,1
3,11,1,Z,1,383.948,1
3,11,4,/,1,366.477,2
3,11,3,/,1,365.319,1
3,11,1,Z,1,342.381,1
3,11,2,Z,1,615.408,2
3,11,1,Z,1,545.169,1
3,11,3,/,1,251.574,1
3,11,2,Z,1,408.441,2
3,11,3,/,1,344.406,1
3,11,2,Z,1,382.021,2
3,11,2,Z,1,804.162,2
3,11,4,/,1,415.443,2
3,11,1,Z,1,544.232,1
3,11,2,Z,1,424.964,2
3,11,1,Z,1,592.987,1
3,11,4,/,1,373.327,2
3,11,2,Z,1,394.266,2
3,11,1,Z,1,673.122,1
3,11,2,Z,1,397.064,2
3,11,4,/,1,407.523,2
3,11,3,/,1,286.203,1
3,11,3,/,1,319.528,1
3,11,3,/,1,310.808,1
3,12,1,Z,1,492.976,1
3,12,3,/,1,242.038,1
3,12,2,Z,1,412.921,2
3,12,4,/,1,799.627,2
3,12,4,/,1,797.752,2
3,12,1,Z,1,290.601,1
3,12,2,Z,1,526.456,2
3,12,2,Z,1,429.93,2
3,12,2,Z,1,917.236,2
3,12,4,/,1,481.661,2
3,12,3,/,1,829.278,1
3,12,2,Z,1,431.019,2
3,12,4,/,1,991.729,2
3,12,3,/,1,677.601,1
3,12,1,Z,1,508.056,1
3,12,1,Z,1,582.384,1
3,12,1,Z,1,646.807,1
3,12,3,/,1,277.489,1
3,12,2,Z,1,403.96,2
3,12,1,Z,1,495.477,1
3,12,1,Z,1,473.335,1
3,12,2,Z,1,376.169,2
3,12,4,/,1,360.862,2
3,12,4,/,1,316.18,2
3,12,3,/,1,375.734,1
3,12,4,/,1,454.333,2
3,12,3,/,1,367.937,1
3,12,3,/,1,326.795,1
3,12,4,/,1,772.91,2
3,12,2,Z,1,463.245,2
3,12,2,Z,1,426.458,2
3,12,4,/,1,664.899,2
3,12,3,/,1,749.568,1
3,12,3,/,1,359.305,1
3,12,4,/,1,389.229,2
3,12,2,Z,1,334.569,2
4,2,4,/,1,462.313,2
4,2,1,Z,1,421.2,1
4,2,2,Z,1,499.253,2
4,2,3,/,1,526.987,1
4,2,3,/,1,540.665,1
4,2,3,/,1,411.005,1
4,2,4,/,1,474.603,2
4,2,1,Z,1,422.146,1
4,2,1,Z,1,356.432,1
4,2,2,Z,1,544.363,2
